Timestamp,Team Number,Match Number,Crosses the auto line (auto-run),Switch capabilities,Scale capabilities,Number of cubes in auton,Number of Cubes on Own Switch,Number of Cubes on Scale,Number of Cubes in Exchange,Climb,Played Good Defense,Extra Notes,Number of Cubes on Opponent's Switch
3/16/2018 17:00,3773,33,No,No,No,0,1,0,1,No,No,Prevented climbing for whole team,0
3/16/2018 18:50,3773,46,No,No,No,0,3,0,1,Yes,No,,0
3/16/2018 19:31,3773,52,No,No,No,0,0,0,1,Parked,No,Bad driving,0
3/16/2018 12:55,3773,13,No,No,Yes,0,0,0,0,Parked,No,,0
3/16/2018 14:52,3773,19,No,No,Yes,0,1,0,0,"Parked, No",No,"Almost tipped, disabled for 1/2 of it, super slow",0
3/17/2018 9:48,3773,63,Yes,No,Tried,0,2,0,0,No,No,Meh,0
3/16/2018 12:05,3773,7,No,No,No,0,1,0,0,Parked,No,Almost tipped over twice,0
3/16/2018 15:26,3773,23,No,No,No,0,1,0,0,Yes,No,Trash with cubes,0
3/16/2018 16:34,3773,30,No,No,No,0,1,0,0,No,No,,0
3/16/2018 20:01,3773,56,No,No,No,0,0,0,0,Parked,Yes,"Played some defense, not super good but ok",0
3/17/2018 10:09,3773,66,No,No,No,0,1,0,0,Parked,Yes,,0
3/16/2018 17:42,4393,38,Yes,No,No,0,1,0,4,Parked,No,,0
3/16/2018 19:37,4395,53,Yes,No,No,0,0,0,9,No,No,,0
3/17/2018 9:33,4395,61,Yes,No,No,0,0,0,9,Parked,No,,0
3/17/2018 10:15,4395,67,Yes,No,No,0,0,0,8,Parked,No,,0
3/16/2018 18:57,4395,47,Yes,No,No,0,0,0,6,No,No,,0
3/16/2018 12:48,4395,12,Yes,No,No,0,0,1,0,No,No,Smashed into opposite wall during auton,0
3/16/2018 11:05,4395,1,yes,No,No,0,0,0,0,Parked,No,?? Don’t know didn’t do much,0
3/16/2018 14:54,4395,19,Yes,No,No,0,0,0,0,Parked,No,The robot had a horrible auton and drive on a cube into multiple barriers... also unprofessional drivers,0
3/16/2018 18:12,4395,41,Yes,No,No,0,0,0,0,Parked,Yes,Didn’t pick up any cubes. Inflatable wheels + very fast= very unstable,0
3/17/2018 9:56,4568,64,Yes,No,No,0,1,0,5,Parked,No,,0
3/17/2018 10:50,4568,72,Yes,No,No,0,1,0,5,Parked,No,,0
3/16/2018 14:52,4568,19,Yes,No,No,0,2,0,4,Parked,No,,0
3/16/2018 19:32,4568,52,No,No,No,0,1,0,4,Parked,No,This robot has issues.  Do not pick!,1
3/16/2018 12:05,4568,7,Yes,No,No,0,0,0,3,Parked,No,,0
3/16/2018 15:17,4568,22,Yes,No,No,0,1,0,2,Parked,Yes,Good match,0
3/16/2018 16:42,4568,31,Yes,No,No,0,0,0,2,Parked,No,Bad gripper,0
3/16/2018 11:29,4568,3,Yes,No,No,0,0,0,1,No,No,"Grabber arms too inward, struggled to pick up cud, dropped the cube while turning",0
3/16/2018 18:04,4568,40,Yes,No,No,0,0,0,1,No,No,,0
3/16/2018 19:52,4568,55,Yes,No,No,0,0,0,1,Parked,No,,0
3/16/2018 17:06,4568,34,No,No,No,0,0,0,0,No,No,Not present,0
3/16/2018 12:32,5050,10,Yes,No,Yes,1,2,5,0,No,Yes,Good boi,0
3/16/2018 17:25,5050,36,Yes,No,Yes,1,0,5,0,No,No,,0
3/16/2018 11:55,5050,6,Yes,No,Yes,1,3,4,0,Yes,Yes,CLIMBER IS AMAZING IT SHOOTS UP AND GRABS IT: THIS ROBOT IS A TOTAL ******* BEAST,1
3/16/2018 15:53,5050,26,Yes,Same side,Yes,1,3,3,0,Yes,Yes,"Climbed with 2 total on it, almost tipped, very smart cube placement",0
3/16/2018 16:32,5050,30,Yes,No,Yes,1,1,2,0,Yes,Yes,Whoa climber,2
3/16/2018 19:30,5050,52,Yes,Did scale,Yes,1,0,2,0,Yes,Yes,,2
3/16/2018 20:23,5050,59,Yes,No,Tried but Bedford blocked by accident,0,0,3,0,Yes,No,,3
3/16/2018 18:36,5050,44,Yes,No,No,0,0,6,0,Yes,No,,0
3/17/2018 10:29,5050,69,Yes,From center,No,1,0,6,0,Yes,Yes,"Very quick, but drops a few cubes",3
3/16/2018 14:31,5050,17,Yes,Same side,No,1,0,5,0,Yes,No,,0
3/17/2018 9:56,5050,64,Yes,From center,No,1,2,4,0,Yes,No,,0
3/16/2018 11:44,5066,5,Yes,No,No,0,0,0,3,Parked,No,,0
3/16/2018 12:40,5066,11,Yes,No,No,0,0,0,3,Parked,No,,0
3/16/2018 15:52,5066,26,Yes,No,No,0,0,0,3,Parked,No,,0
3/16/2018 17:50,5066,39,Yes,No,No,0,0,0,2,Parked,No,,0
3/17/2018 9:31,5066,61,No,Wasnt in the match,Wasnt in the match,0,0,0,0,Wasnt in the match,No,Wasnt in the match,0
3/16/2018 14:19,5066,16,No,No,No,0,0,0,0,No,No,,0
3/16/2018 18:50,5066,46,No,No,No,0,0,0,0,No,No,No movement,0
3/16/2018 19:52,5066,55,No,No,No,0,0,0,0,No,No,Didn’t move at all,0
3/17/2018 10:14,5066,67,No,No,No,0,0,0,0,No,No,Absent ,0
3/17/2018 10:35,5067,70,Yes,No,No,0,1,0,5,No,No,,0
3/16/2018 17:35,5067,37,Yes,No,No,0,2,0,4,Parked,No,,0
3/16/2018 11:36,5067,4,Yes,Same side,No,0,0,0,3,Parked,No,,0
3/16/2018 12:47,5067,12,No,No,No,0,0,0,3,Parked,No,,0
3/16/2018 18:43,5067,45,Yes,No,No,0,2,0,3,No,No,,0
3/16/2018 19:31,5067,53,Yes,No,No,0,3,0,2,No,No,,0
3/16/2018 14:19,5067,16,Yes,No,No,0,0,0,1,Parked,No,Tried to lift but the entire grabber just fell back down,0
